clave,anio,url,archivo,status,bytes,error
2010-01,2010,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{E9F83997-3FFB-9E19-94A2-0EF4F7160905}.pdf,2010-01.pdf,ok,287802,
2009-14,2009,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{D9641147-AD8F-73A8-5938-D3140F7E09EC}.pdf,2009-14.pdf,ok,193408,
2009-10,2009,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{5338656A-70CF-8E78-95C8-836ED3A57AFE}.pdf,2009-10.pdf,ok,309151,
2009-09,2009,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{7EF0E81F-D415-8FA1-0141-0646473C5DF7}.pdf,2009-09.pdf,ok,482567,
2009-05,2009,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{7B95F5F7-C3EE-930D-27A1-F02261F08784}.pdf,2009-05.pdf,ok,427199,
2009-02,2009,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{62981CE8-2A13-F10F-7166-AEEF50ABB78E}.pdf,2009-02.pdf,ok,455144,
2008-12,2008,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{162290BC-6DEE-E4A0-9FC0-7A23A4F3846A}.pdf,2008-12.pdf,ok,193707,
2008-08,2008,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{3E669F9E-1FA9-4037-71CC-2734F3D0B399}.pdf,2008-08.pdf,ok,186758,
2008-05,2008,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{BDC5FF09-8816-1FCB-15DA-3E65B4AD3B0D}.pdf,2008-05.pdf,ok,340398,
2008-04,2008,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{F565A092-4A13-08A2-0BF0-80C86153B53C}.pdf,2008-04.pdf,ok,374678,
2007-15,2007,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{B7233032-FB5A-8D90-E1C3-F9E0FC86C600}.pdf,2007-15.pdf,ok,863395,
2007-11,2007,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{F13DF580-CEB2-9EAD-D604-C4EB69267FB9}.pdf,2007-11.pdf,ok,271010,
2007-06,2007,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{F8B429DD-48F1-E17B-E0B6-703C94492D6D}.pdf,2007-06.pdf,ok,387885,
2007-02,2007,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{477A2323-AE77-DF09-7B9A-209AF3EBB12B}.pdf,2007-02.pdf,ok,544480,
2007-01,2007,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{B157BB20-FCA2-A3B6-A89A-253FEA321EAC}.pdf,2007-01.pdf,ok,252744,
2006-15,2006,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{2F779A17-41A7-9CA8-64C5-73DC5C89A915}.pdf,2006-15.pdf,ok,238000,
2006-14,2006,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{AD0AF736-D8D7-E689-1FF5-812E9070EAC3}.pdf,2006-14.pdf,ok,720988,
2006-11,2006,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{B0BCDB23-D422-F76E-3D13-46395DC13482}.pdf,2006-11.pdf,ok,683326,
2006-08,2006,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{CE5E576E-0661-9CB9-7876-661FD9C65C6B}.pdf,2006-08.pdf,ok,565240,
2006-07,2006,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{AD69963E-BB8D-5F96-39F2-5E188DBE12C3}.pdf,2006-07.pdf,ok,707589,
2006-06,2006,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{3A97C646-D306-A482-1543-79CC88BF65C1}.pdf,2006-06.pdf,ok,429483,
2005-01,2005,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{7F3073DE-937B-4393-1C77-6C77A661A348}.pdf,2005-01.pdf,ok,567825,
2004-05,2004,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{37084CC1-9CEA-A611-6734-3731CBC3E5E0}.pdf,2004-05.pdf,ok,593045,
